"ID","Title","Year","Country","Rotten Tomatoes"
"16382","Return to Oz","1985","United Kingdom,United States","52%"
"16383","Blackbeard's Ghost","1968","United States","82%"
"16384","Chimpanzee","2012","Tanzania,United States","76%"
"16385","The Absent-Minded Professor","1961","United States","83%"
"16386","Camp Rock","2008","United States","45%"
"16387","Penguins","2019","United States","92%"
"16388","Pooh's Heffalump IteratorPattern.Main.Movie","2005","United States","80%"
"16389","Turner & Hooch","1989","United States","52%"
"16390","Glory Road","2006","United States",""
"16391","Princess Protection Program","2009","United States","60%"
"16392","Science Fair","2018","United States","97%"
"16393","Greyfriars Bobby: The True Story of a Dog","1961","United States","100%"
"16394","Diary of a Wimpy Kid","2010","United States,United Kingdom","53%"
"16395","The Odd Life of Timothy Green","2012","United States","35%"
"16396","Splash","1984","United States","90%"
"16397","The Princess Diaries 2: Royal Engagement","2004","United States","26%"
"16398","The Black Cauldron","1985","United States,United Kingdom","55%"
"16399","The Game Plan","2007","United States","28%"
"16400","Cinderella III: A Twist in Time","2007","United States","75%"
"16401","Waking Sleeping Beauty","2009","United States","71%"
"16402","The Tigger IteratorPattern.Main.Movie","2000","United States,Japan","62%"
"16403","Escape to Witch Mountain","1975","United States","76%"
"16404","Timmy Failure: Mistakes Were Made","2020","United States","88%"
"16405","101 Dalmatians","1996","United States,United Kingdom","42%"
"16406","The Last Song","2010","United States","21%"
"16407","George of the Jungle","1997","United States","57%"
"16408","Frank and Ollie","1995","United States","88%"
"16409","The Santa Clause 2","2002","United States,Canada","56%"
"16410","Heavyweights","1995","United States","29%"
"16411","Ice Princess","2005","United States,Canada","52%"
"16412","Bedtime Stories","2008","United States","26%"
"16413","Cheaper by the Dozen","2003","United States","24%"
"16414","An Extremely Goofy IteratorPattern.Main.Movie","2000","United States,Australia","63%"
"16415","Twitches","2005","United States","60%"
"16416","Iron Will","1994","United States","62%"
"16417","Aladdin and the King of Thieves","1996","United States","33%"
"16418","Piglet's Big IteratorPattern.Main.Movie","2003","United States","70%"
"16419","Because of Winn-Dixie","2005","United States","55%"
"16420","Fun and Fancy Free","1947","United States","67%"
"16421","Mickey's Once Upon a Christmas","1999","United States","40%"
"16422","Deep Blue","2003","United States,Mexico","67%"
"16423","Red Tails","2012","United States","40%"
"16424","Lilo & Stitch 2: Stitch Has a Glitch","2005","United States","40%"
"16425","Ruby Bridges","1998","United States","83%"
"16426","Doctor Dolittle","1998","United States","42%"
"16427","Brother Bear 2","2006","United States","50%"
"16428","Camp Rock 2: The Final Jam","2010","United States","63%"
"16429","Recess: School's Out","2001","United States,Japan","60%"
"16430","The Adventures of Huck Finn","1993","United States","73%"
"16431","Lemonade Mouth","2011","United States",""
"16432","The Crimson Wing: Mystery of the Flamingos","2008","United States,United Kingdom","75%"
"16433","Big Business","1988","United States","44%"
"16434","Melody Time","1948","United States","80%"
"16435","Bambi II","2006","United States","50%"
"16436","The Cheetah Girls","2003","Canada,United States","71%"
"16437","Hannah Montana: The IteratorPattern.Main.Movie","2009","United States","44%"
"16438","Herbie Rides Again","1974","United States","80%"
"16439","Descendants 3","2019","United States","78%"
"16440","Olaf's Frozen Adventure","2017","United States","57%"
"16441","The Apple Dumpling Gang","1975","United States","56%"
"16442","Newsies: The Broadway Musical","2017","United States",""
"16443","101 Dalmatians II: Patch's London Adventure","2003","United States","67%"
"16444","Saludos Amigos","1942","United States","83%"
"16445","Mighty Joe Young","1998","United States","55%"
"16446","Thumbelina","1994","Ireland,United States,Canada,United Kingdom,Denmark,Spain,Poland,Hungary","30%"
"16447","The Lizzie McGuire IteratorPattern.Main.Movie","2003","United States","41%"
"16448","The Cat from Outer Space","1978","United States","67%"
"16449","Rookie of the Year","1993","United States","35%"
"16450","Sister Act 2: Back in the Habit","1993","United States","7%"
"16451","Homeward Bound II: Lost in San Francisco","1996","United States","53%"
"16452","Jump In!","2007","United States","63%"
"16453","Roving Mars","2006","United States","70%"
"16454","The Black Hole","1979","United States","40%"
"16455","Lady and the Tramp II: Scamp's Adventure","2001","United States,Australia","45%"
"16456","Around the World in 80 Days","2004","United States,Germany,Ireland,United Kingdom","32%"
"16457","Luxo Jr.","1986","United States",""
"16458","Flubber","1997","United States","24%"
"16459","The Return of Jafar","1994","United States","33%"
"16460","Aliens of the Deep","2005","United States","84%"
"16461","Mickey, Donald, Goofy: The Three Musketeers","2004","United States","36%"
"16462","The Little Mermaid: Ariel's Beginning","2008","United States","33%"
"16463","The Cheetah Girls 2: When in Spain","2006","United States","43%"
"16464","Pooh's Grand Adventure: The Search for Christopher Robin","1997","United States","33%"
"16465","Jack","1996","United States","18%"
"16466","Stargirl","2020","United States","71%"
"16467","Return to Never Land","2002","United States,Canada,Australia","45%"
"16468","The Shaggy Dog","1959","United States","68%"
"16469","Herbie Goes to Monte Carlo","1977","United States","60%"
"16470","Home on the Range","2004","United States","53%"
"16471","The Little Mermaid II: Return to the Sea","2000","United States,Canada,Australia,Taiwan","33%"
"16472","The Cheetah Girls: One World","2008","United States","67%"
"16473","Leroy & Stitch","2006","United States","40%"
"16474","Herbie Fully Loaded","2005","United States","41%"
"16475","Let It Shine","2012","United States",""
"16476","Wizards of Waverly Place: The IteratorPattern.Main.Movie","2009","United States",""
"16477","A Wrinkle in Time","2018","United States","42%"
"16478","Benji the Hunted","1987","United States","50%"
"16479","Recess: Taking the Fifth Grade","2003","United States","67%"
"16480","The Even Stevens IteratorPattern.Main.Movie","2003","United States","40%"
"16481","Marvel Rising: Secret Warriors","2018","United States","100%"
"16482","Mars Needs Moms","2011","United States","37%"
"16483","Sharpay's Fabulous Adventure","2011","United States","60%"
"16484","The Wizards Return: Alex vs. Alex","2013","United States",""
"16485","Home Alone 3","1997","United States","29%"
"16486","3 Men and a Little Lady","1990","United States","38%"
"16487","Beauty and the Beast: The Enchanted Christmas","1997","Canada,United States","13%"
"16488","Annie","1999","United States",""
"16489","Tiger Cruise","2005","United States","60%"
"16490","Stitch! The IteratorPattern.Main.Movie","2003","United States","20%"
"16491","Babes in Toyland","1961","United States","36%"
"16492","Brink!","1998","United States",""
"16493","Tall Tale","1995","United States","50%"
"16494","Good Luck Charlie, It's Christmas!","2011","United States",""
"16495","G-Force","2009","United States","22%"
"16496","Cloud 9","2014","United States",""
"16497","Geek Charming","2011","United States",""
"16498","Snow Dogs","2002","Canada,United States","25%"
"16499","Mulan II","2004","United States,South Korea,Singapore,Russia,Malaysia,Kazakhstan,Taiwan,Hong Kong,Japan,China,India,Syria,Iran,Egypt,Pakistan",""
"16500","Dr. Dolittle 2","2001","United States","42%"
"16501","Kim Possible IteratorPattern.Main.Movie: So the Drama","2005","United States",""
"16502","Camp Nowhere","1994","United States","18%"
"16503","Honey I Blew Up the Kid","1992","United States","40%"
"16504","Steamboat Willie","1928","United States",""
"16505","Motocrossed","2001","United States",""
"16506","One Magic Christmas","1985","Canada,United States","47%"
"16507","The Computer Wore Tennis Shoes","1969","United States","50%"
"16508","Halloweentown II: Kalabar's Revenge","2001","United States",""
"16509","102 Dalmatians","2000","United States,United Kingdom","31%"
"16510","The Santa Clause 3: The Escape Clause","2006","United States,Canada","17%"
"16511","Teen Beach 2","2015","United States",""
"16512","Return from Witch Mountain","1978","United States","50%"
"16513","Kitbull","2019","United States",""
"16514","Tru Confessions","2002","United States,Canada",""
"16515","Treasure Island","1950","United Kingdom",""
"16516","Prom","2011","United States","36%"
"16517","Mickey's Twice Upon a Christmas","2004","United States",""
"16518","Zenon: Girl of the 21st Century","1999","United States",""
"16519","The Wild","2006","United States","19%"
"16520","Halloweentown High","2004","United States",""
"16521","Valiant","2005","United Kingdom,United States","32%"
"16522","Candleshoe","1977","United Kingdom,United States",""
"16523","The Haunted Mansion","2003","United States","14%"
"16524","Twitches Too","2007","United States",""
"16525","Jungle 2 Jungle","1997","United States,France","19%"
"16526","Hannah Montana & Miley Cyrus: Best of Both Worlds Concert","2008","United States","73%"
"16527","The Ugly Dachshund","1966","United States",""
"16528","Kronk's New Groove","2005","United States",""
"16529","Marvel Studios: Assembling a Universe","2014","United States",""
"16530","Smart House","1999","United States",""
"16531","Cadet Kelly","2002","United States,Canada",""
"16532","Z-O-M-B-I-E-S","2018","United States",""
"16533","Tom and Huck","1995","United States","25%"
"16534","Young Black Stallion","2003","United States","45%"
"16535","Tangled: Before Ever After","2017","United States",""
"16536","The Reluctant Dragon","1941","United States",""
"16537","Pocahontas II: Journey to a New World","1998","United States","29%"
"16538","Cheetah","1989","United States","50%"
"16539","Avalon High","2011","United States",""
"16540","The Fox and the Hound 2","2006","United States","20%"
"16541","Honey, We Shrunk Ourselves","1997","United States","25%"
"16542","How to Build a Better Boy","2014","United States",""
"16543","The Jungle Book 2","2003","United States,Australia","19%"
"16544","The Luck of the Irish","2001","United States",""
"16545","Tin Toy","1988","United States",""
"16546","Return to Halloweentown","2006","United States",""
"16547","Winnie the Pooh: A Very Merry Pooh Year","2002","United States",""
"16548","Johnny Tsunami","1999","United States",""
"16549","The Disney Family Singalong","2020","United States",""
"16550","Don't Look Under the Bed","1999","United States",""
"16551","I'll Be Home for Christmas","1998","United States,Canada","23%"
"16552","Invisible Sister","2015","United States",""
"16553","Confessions of a Teenage Drama Queen","2004","Germany,United States","14%"
"16554","The Shaggy D.A.","1976","United States","50%"
"16555","Minutemen","2008","United States",""
"16556","Shipwrecked","1990","Norway,Sweden,United States",""
"16557","Into the Okavango","2018","United States,Angola,Botswana,Namibia,South Africa",""
"16558","Winnie the Pooh: Springtime with Roo","2004","United States",""
"16559","12 Dates of Christmas","2011","United States",""
"16560","Cow Belles","2006","United States",""
"16561","The Brave Little Toaster to the Rescue","1997","United States","40%"
"16562","Blank Check","1994","United States","9%"
"16563","Cinderella II: Dreams Come True","2002","United States","11%"
"16564","The Thirteenth Year","1999","United States",""
"16565","Phineas and Ferb: Star Wars","2014","United States",""
"16566","Belle's Magical World","1998","United States","17%"
"16567","Davy Crockett and the River Pirates","1956","United States",""
"16568","The Suite Life IteratorPattern.Main.Movie","2011","United States",""
"16569","Lamp Life","2020","United States",""
"16570","Tarzan & Jane","2002","United States","17%"
"16571","Bad Hair Day","2015","Canada",""
"16572","Operation Dumbo Drop","1995","United States","31%"
"16573","The Story of Robin Hood and His Merrie Men","1952","United Kingdom",""
"16574","Read It and Weep","2006","United States",""
"16575","The Living Desert","1953","United States",""
"16576","Herbie Goes Bananas","1980","United States","40%"
"16577","Mr. Boogedy","1986","",""
"16578","Double Teamed","2002","United States",""
"16579","The Brave Little Toaster Goes to Mars","1998","United States","40%"
"16580","First Kid","1996","United States","23%"
"16581","The Adventures of Bullwhip Griffin","1967","United States","43%"
"16582","The Proud Family IteratorPattern.Main.Movie","2005","United States",""
"16583","Phineas and Ferb: Mission Marvel","2013","",""
"16584","Go Figure","2005","United States",""
"16585","Stuck in the Suburbs","2004","United States",""
"16586","Ice Age: The Great Egg-Scapade","2016","United States",""
"16587","College Road Trip","2008","United States","12%"
"16588","Girl vs. Monster","2012","United States,Canada",""
"16589","Going to the Mat","2004","United States",""
"16590","Right on Track","2003","United States",""
"16591","Life with Mikey","1993","United States","25%"
"16592","Wendy Wu: Homecoming Warrior","2006","United States",""
"16593","Marvel: 75 Years, From Pulp to Pop!","2014","United States",""
"16594","The Small One","1978","United States",""
"16595","Phantom of the Megaplex","2000","United States,Canada",""
"16596","The Apple Dumpling Gang Rides Again","1979","United States",""
"16597","Mom's Got a Date with a Vampire","2000","Canada,United States",""
"16598","Atlantis: Milo's Return","2003","United States",""
"16599","Snowball Express","1972","United States",""
"16600","Sacred Planet","2004","Canada,Malaysia,United States","58%"
"16601","The Hunchback of Notre Dame II","2002","United States","30%"
"16602","Rip Girls","2000","Australia,United States",""
"16603","MARS: Inside SpaceX","2018","United States",""
"16604","Zenon: The Zequel","2001","United States,New Zealand",""
"16605","Wings of Life","2011","United States,Panama,Mexico",""
"16606","Get a Clue","2002","United States",""
"16607","Hatching Pete","2009","United States",""
"16608","Apollo: Missions to the Moon","2019","United States",""
"16609","Pixel Perfect","2004","United States",""
"16610","The Vanishing Prairie","1954","United States",""
"16611","Alley Cats Strike","2000","United States,Canada",""
"16612","Life-Size 2","2018","United States","40%"
"16613","Johnny Kapahala - Back on Board","2007","United States",""
"16614","Jumping Ship","2001","Australia,United States",""
"16615","The Million Dollar Duck","1971","United States","17%"
"16616","Frenemies","2012","United States",""
"16617","Eddie's Million Dollar Cook Off","2003","United States",""
"16618","Babes in the Woods","1932","United States",""
"16619","America's Heart and Soul","2004","United States","50%"
"16620","The Mistle-Tones","2012","United States",""
"16621","A Ring of Endless Light","2002","United States",""
"16622","The Other Me","2000","Greece",""
"16623","Up, Up, and Away","2000","United States",""
"16624","Dolphin Reef","2018","United States",""
"16625","Gus","1976","United States",""
"16626","Almost Angels","1962","United States",""
"16627","Gotta Kick It Up!","2002","United States",""
"16628","The African Lion","1955","United States",""
"16629","Horse Sense","1999","United States",""
"16630","Snowglobe","2007","United States",""
"16631","Once Upon A Mattress","2005","United States",""
"16632","Jonas Brothers: The Concert Experience","2009","United States","24%"
"16633","You Wish!","2003","New Zealand,United States",""
"16634","The Country Bears","2002","United States","29%"
"16635","A Celebration of the Music from Coco","2020","United States",""
"16636","In the Footsteps of Elephant","2020","United States",""
"16637","Out of Scale","1951","United States",""
"16638","Inspector Gadget 2","2003","United States","40%"
"16639","Zenon: Z3","2004","United States",""
"16640","Den Brother","2010","United States",""
"16641","Miracle In Lane 2","2000","United States",""
"16642","Three Days","2001","United States,France",""
"16643","Atlantis Rising","2017","Canada",""
"16644","Doug's 1st IteratorPattern.Main.Movie","1999","United States","26%"
"16645","The Strongest Man in the World","1975","United States",""
"16646","Titanic: 20 Years Later with James Cameron","2017","United States",""
"16647","Quints","2000","Canada,United States",""
"16648","Breaking2","2017","United States",""
"16649","Life Is Ruff","2005","United States",""
"16650","Jungle Cat","1959","United States",""
"16651","Under the Sea: A Descendants Story","2018","",""
"16652","Santa Paws 2: The Santa Pups","2012","United States",""
"16653","Dadnapped","2009","United States",""
"16654","Bride of Boogedy","1987","United States",""
"16655","Into the Grand Canyon","2019","United States",""
"16656","The Ultimate Christmas Present","2000","Canada,United States",""
"16657","Diving with Dolphins","2020","United States",""
"16658","A Kid in King Arthur's Court","1995","United States,Hungary,United Kingdom","5%"
"16659","Marvel Rising: Chasing Ghosts","2019","United States",""
"16660","Super Buddies","2013","United States",""
"16661","The Sandlot: Heading Home","2007","United States,Canada",""
"16662","Marvel Rising: Heart of Iron","2019","United States",""
"16663","The Secret of the Magic Gourd","2007","China,Hong Kong,United States",""
"16664","Recess: All Growed Down","2003","United States",""
"16665","The Scream Team","2002","United States",""
"16666","Perri","1957","United States",""
"16667","Penguins: Life on the Edge","2020","United States",""
"16668","High School Musical: The Musical: The Series: The Special","2019","United States",""
"16669","Buffalo Dreams","2005","United States",""
"16670","Full-Court Miracle","2003","United States",""
"16671","Twas the Night","2001","United States",""
"16672","George of the Jungle 2","2003","United States,Australia","17%"
"16673","The Plausible Impossible","1956","United States",""
"16674","Miracle at Midnight","1998","United States",""
"16675","Iron Man & Hulk: Heroes United","2013","United States",""
"16676","Stepsister from Planet Weird","2000","United States",""
"16677","Expedition Mars","2016","United States",""
"16678","That Darn Cat","1997","United States","13%"
"16679","Those Calloways","1965","United States",""
"16680","The Sign of Zorro","1958","United States",""
"16681","Decorating Disney: Holiday Magic","2017","United States",""
"16682","Treasure of Matecumbe","1976","United States",""
"16683","The Christmas Star","1986","Canada,United States",""
"16684","Stonehenge: Decoded","2008","United Kingdom",""
"16685","Marvel Rising: Operation Shuri","2019","United States",""
"16686","Emil and the Detectives","1964","United States",""
"16687","Marvel Rising: Battle of the Bands","2019","United States",""
"16688","Kazaam","1996","United States","6%"
"16689","Marvel Rising: Playing with Fire","2019","United States",""
"16690","Nature's Half Acre","1951","United States",""
"16691","Ready to Run","2000","United States,New Zealand",""
"16692","You Lucky Dog","1998","United States",""
"16693","Water Birds","1952","United States",""
"16694","The Flood","2018","United Kingdom",""
"16695","Skyrunners","2009","United States",""
"16696","The Lost Tomb of Alexander the Great","2019","United Kingdom",""
"16697","Drain the Great Lakes","2011","United Kingdom,Canada,United States",""
"16698","Disney's Fairy Tale Weddings","2017","United States",""
"16699","Paris to Pittsburgh","2018","United States",""
"16700","A Tale of Two Critters","1977","United States",""
"16701","Drain the Titanic","2016","United Kingdom,Canada,United States",""
"16702","Fuzzbucket","1986","United States",""
"16703","Trail of the Panda","2009","China",""
"16704","Secrets of Christ's Tomb: Explorer Special","2017","United States",""
"16705","Sammy, the Way-Out Seal","1962","United States",""
"16706","Meet the Deedles","1998","United States","7%"
"16707","Justin Morgan Had a Horse","1972","United States",""
"16708","The Biscuit Eater","1972","United States",""
"16709","Miracle Landing on the Hudson","2013","United States",""
"16710","Prowlers of the Everglades","1953","United States",""
"16711","The Castaway Cowboy","1974","United States",""
"16712","Casebusters","1986","United States",""
"16713","Mission to the Sun","2018","United States",""
"16714","Drain the Bermuda Triangle","2014","United States",""
"16715","Drain The Ocean: WWII","2016","United States",""
"16716","Hounded","2001","United States",""
"16717","Yellowstone Cubs","1963","United States",""
"16718","Kingdom of the Blue Whale","2009","United States",""
"16719","Viking Warrior Women","2019","United Kingdom",""
"16720","Pocahontas","1995","United States","55%"
"16721","Drain Alcatraz","2017","United States",""
"16722","The Spaceman and King Arthur","1979","United States",""
"16723","Secrets of Life","1956","United States",""
"16724","Hacksaw","1971","United States",""
"16725","Can of Worms","1999","United States,Canada",""
"16726","My Dog the Thief","1969","United States",""
"16727","Richie Rich's Christmas Wish","1998","United States",""
"16728","The Jungle Book: Mowgli's Story","1998","United States",""
"16729","How Dogs Got Their Shapes","2016","United States",""
"16730","Drain The Sunken Pirate City","2017","United Kingdom",""
"16731","Bizarre Dinosaurs","2010","United States",""
"16732","Earth Live","2017","United States",""
"16733","The Boy Who Talked to Badgers","1975","United States",""
"16734","Sea of Hope: America's Underwater Treasures","2017","United States",""
"16735","Sultan And The Rock Star","1980","United States",""
"16736","Secrets of the King Cobra","2010","India",""
"16737","Winged Seduction: Birds of Paradise","2012","United States",""
"16738","The Bears and I","1974","United States",""
"16739","Whispers: An Elephant's Tale","2000","United States",""
"16740","The Ghosts of Buxley Hall","1980","United States",""
"16741","The Poof Point","2001","United States",""
"16742","Sharks of Lost Island","2013","United States",""
"16743","Man Among Cheetahs","2017","United States",""
"16744","In Beaver Valley","1950","United States",""
